,Unnamed: 0,Created_at,Text,user,hashtags,location,source,retweet_count
73,73,2021-04-25 13:14:39,Anyone down here in my neck of the woods that want to drive a Tesla Model S around for a few days. Boom. There is y… https://t.co/EoDGnU5Hfh,MarcusHouse,,"Australia, Tasmania",Twitter Web App,0
74,74,2021-04-25 13:14:33,I will never get tired of how genius the Tesla is.,SarooshL,,,Twitter for iPhone,0
75,75,2021-04-25 13:14:18,@GlosPolSpecOps @Tesla Great to see - well done for taking the initiative and leading from the front 👍👍,acltd_co,,"Basingstoke, England",Twitter for iPhone,0
76,76,2021-04-25 13:14:15,@TMobile @Tesla I'm entered in the win a Tesla contest #TMobileTuesdays #contest,the1wheelR,TMobileTuesdays contest,"the Bronx, New York",Twitter for Android,0
77,77,2021-04-25 13:14:09,"@bethyr87 @truth_tesla @SophistUnpaid @goldengateblond The claims about working conditions turned out to be lies, dude.",varbmos,,,Twitter Web App,0
78,78,2021-04-25 13:14:06,@Tech_Randall @MercedesBenz Not poor. Never will be 😂😂😂 good luck👍 you”ll need it. German car builders will pass Te… https://t.co/BLpVuiyc5t,silverbullit76,,"Amsterdam, Nederland",Twitter for iPhone,0
79,79,2021-04-25 13:14:05,@ResponsibleTout @Tesla Happy Birthday bro.,SmarteeyPants,,,Twitter for Android,0
80,80,2021-04-25 13:13:57,"@elonmusk Doge at $60,000 a share and that new X model Tesla you could send me as a gift just cause you’re feeling cute  ;)",garydesanti,,"Phoenix, AZ",Twitter for iPhone,0
81,81,2021-04-25 13:13:54,Tesla Inc To Setup India Headquarters In Mumbai: Report https://t.co/zfjTN8qQT8,jollymampilly,,"India, Kerala.",Twitter for Android,0
82,82,2021-04-25 13:13:42,"@WholeMarsBlog After the earnings were presented the stock market reacted with a sharp rise in the value of Tesla,… https://t.co/SV0T7Bi0cC",gpt3_adjutant,,"#AI, #Blockchain, #FSD, #AR",Twitter Web App,0
83,83,2021-04-25 13:13:40,This is a significant development for #tesla and it’s owners. https://t.co/5iH1InpX9L,goldentouch73,tesla,"New Jersey, USA",Twitter for iPhone,0
84,84,2021-04-25 13:13:39,"@CARandDRIVER @Tesla - ""Had the crash happened on a highway, his department’s trucks, which carry between 500 and 1… https://t.co/UPy2kyvpnR",RubnIsRacing,,"Boise, ID",Twitter for Android,0
85,85,2021-04-25 13:13:38,@Investingcom I doubt Tesla but Nvidia as well SAM,WernerTrejo1,,"Chicago, IL",Twitter for Android,0
86,86,2021-04-25 13:13:34,The @BMW app is actually better than the @Tesla one https://t.co/lwMgCA2IUV,paulwrblanchard,,"London, New York, Los Angeles",Twitter for iPhone,0
87,87,2021-04-25 13:13:34,@tianalauderr Literally tortured them and pays them in Tesla’s and clout 😂,renaecx,,Frontline ,Twitter for iPhone,0
88,88,2021-04-25 13:13:33,"Twitter users were not impressed after ""Saturday Night Live"" announced that Tesla CEO Elon Musk would be hosting th… https://t.co/rsd4xwbb7a",IBTimes,,"New York, NY",Echobox,1
89,89,2021-04-25 13:13:32,@ChrisWhodl @gregzaj1 Switzerland bought a ton more of Tesla right before they announced. They indirectly hold BTC,nunya81524991,,,Twitter for iPhone,0
90,90,2021-04-25 13:13:16,"@EconomicManBlog @Voyager2371 @bonnienorman @WPipperger Even if Tesla did have poor quality and servicing, that say… https://t.co/L9kBpze0Xk",varbmos,,,Twitter Web App,0
91,91,2021-04-25 13:12:58,"@MontanaSeptic @J_Bell25 @LizClaman @Tesla @elonmusk Yeah?? 

Well, I am not the one that's stupid not to see how b… https://t.co/cY46Rgzmiz",d3p3nds,,,Twitter for Android,0
92,92,2021-04-25 13:12:56,"@WholeMarsBlog Teslas are safer from a casualty perspective by a wide margin, a factor of 5 compared to the next sa… https://t.co/m2SnzHi50w",FReddych,,,Twitter for iPhone,0
93,93,2021-04-25 13:12:53,"@CARandDRIVER @Tesla Really??? "" By the time even the smallest embers were finally out, many hours after the crash,… https://t.co/gVfRnSF9v2",RubnIsRacing,,"Boise, ID",Twitter for Android,0
94,94,2021-04-25 13:12:30,@thatt3slaguy This seems very high. I had two doors replaced by Tesla Body Shop for $3200,TeslaFamilyChan,,"Maryland, USA",Twitter for Android,0
95,95,2021-04-25 13:12:28,"Loving the i3 but nothing beats the Tesla infrastructure when it comes to electric atm, nothing else compares for r… https://t.co/D7uFi2w7hN",SJ_Selina,,"California, USA",Twitter for iPhone,0
96,96,2021-04-25 13:12:24,@teslaP3D @DesertTesla In the app it shows the exact same thing as someone who bought from Tesla. On the website it… https://t.co/7yic03oh2y,AaronS5_,,,Twitter for iPhone,0
97,97,2021-04-25 13:12:24,"What’s the difference between Ryan Giggs and a Tesla? 

A Tesla can go three days without a battery charge.",gavmacn,,Touching The Void,Twitter for iPhone,2
98,98,2021-04-25 13:12:24,Today's call is #SAFETESLA a unique deflationary protocol based on #BSC that offers a variety of high- yield use ca… https://t.co/1D3pFWNvsM,zerdexmarket,SAFETESLA BSC,,IFTTT,0
99,99,2021-04-25 13:12:19,@_juxtme @__nylaintransit @JonErlichman Being born into an extremely rich family for one. Having all of his Tesla m… https://t.co/zJgzcC1iTJ,TalkofYourCold,,Canada,Twitter for Android,0
